id	depth	sentence	fol	vf	vfpol	tags
1	0	two lions did not swim and come	(exists A.(two(A) & (lion(A) & - (swim(A) & come(A)))))	TWO LION NOT AND SWIM COME	[[lion,pos],[swim,neg],[come,neg]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:no;peripheral:no;center:no;adverb:no;conjunction:yes;disjunction:no
2	0	one large dog followed daniel	(exists A.((dog(A) & large(A)) & (exists B.(daniel(B) & follow(A,B)))))	EXIST AND DOG LARGE EXIST DANIEL FOLLOW	[[dog,pos],[large,pos],[daniel,pos],[follow,pos]]	sbj_quant:yes;obj_quant:no;negation:no;adjective:yes;peripheral:no;center:no;adverb:no;conjunction:no;disjunction:no
3	0	two wild tigers did not dance and come	(exists A.(two(A) & ((tiger(A) & wild(A)) & - (dance(A) & come(A)))))	TWO AND TIGER WILD NOT AND DANCE COME	[[tiger,pos],[wild,pos],[dance,neg],[come,neg]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:yes;peripheral:no;center:no;adverb:no;conjunction:yes;disjunction:no
4	0	all small cats did not dance	(forall A.((cat(A) & small(A)) -> - dance(A)))	ALL AND CAT SMALL NOT DANCE	[[cat,neg],[small,neg],[dance,neg]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:yes;peripheral:no;center:no;adverb:no;conjunction:no;disjunction:no
5	0	two small monkeys ran	(exists A.(two(A) & ((monkey(A) & small(A)) & run(A))))	TWO AND MONKEY SMALL RUN	[[monkey,pos],[small,pos],[run,pos]]	sbj_quant:yes;obj_quant:no;negation:no;adjective:yes;peripheral:no;center:no;adverb:no;conjunction:no;disjunction:no
6	0	a large fox did not lick ann	(exists A.((fox(A) & large(A)) & - (exists B.(ann(B) & lick(A,B)))))	EXIST AND FOX LARGE NOT EXIST ANN LICK	[[fox,pos],[large,pos],[ann,neg],[lick,neg]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:yes;peripheral:no;center:no;adverb:no;conjunction:no;disjunction:no
7	0	every fox did not run and dance	(forall A.(fox(A) -> - (run(A) & dance(A))))	ALL FOX NOT AND RUN DANCE	[[fox,neg],[run,neg],[dance,neg]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:no;peripheral:no;center:no;adverb:no;conjunction:yes;disjunction:no
8	0	a large horse did not rush and cry	(exists A.((horse(A) & large(A)) & - (rush(A) & cry(A))))	EXIST AND HORSE LARGE NOT AND RUSH CRY	[[horse,pos],[large,pos],[rush,neg],[cry,neg]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:yes;peripheral:no;center:no;adverb:no;conjunction:yes;disjunction:no
9	0	ann chased greg	(exists A.(ann(A) & (exists B.(greg(B) & chase(A,B)))))	EXIST ANN EXIST GREG CHASE	[[ann,pos],[greg,pos],[chase,pos]]	sbj_quant:no;obj_quant:no;negation:no;adjective:no;peripheral:no;center:no;adverb:no;conjunction:no;disjunction:no
10	0	three large horses did not swim or escape	(exists A.(three(A) & ((horse(A) & large(A)) & - (swim(A) | escape(A)))))	THREE AND HORSE LARGE NOT OR SWIM ESCAPE	[[horse,pos],[large,pos],[swim,neg],[escape,neg]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:yes;peripheral:no;center:no;adverb:no;conjunction:no;disjunction:yes
11	1	two dogs that did not run did not rush and escape	(exists A.(two(A) & ((dog(A) & - run(A)) & - (rush(A) & escape(A)))))	TWO AND DOG NOT RUN NOT AND RUSH ESCAPE	[[dog,pos],[run,neg],[rush,neg],[escape,neg]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:no;peripheral:no;center:no;adverb:no;conjunction:yes;disjunction:no
